Arrangement,DRRMH-H-07 1/7,Description,Serial Number,Inventory Item Number,PAR/ICS Number,UPM Property Number,DOST Property Number,DOST-UPM PTR Number,UPS-UPM PTR Number,Specific Location,Remarks
164,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 106/150,,,,Stock Room,
165,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 107/150,,,,Stock Room,
166,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 108/150,,,,Stock Room,
167,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 109/150,,,,Stock Room,
168,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 110/150,,,,Stock Room,
169,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 111/150,,,,Stock Room,
170,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 112/150,,,,Stock Room,
171,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05  113/150,,,,Stock Room,
172,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 114/150,,,,Stock Room,
173,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 115/150,,,,Stock Room,
174,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 116/150,,,,Stock Room,
175,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 117/150,,,,Stock Room,
176,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 118/150,,,,Stock Room,
177,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 119/150,,,,Stock Room,
178,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 120/150,,,,Stock Room,
179,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 121/150,,,,Stock Room,
180,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 122/150,,,,Stock Room,
181,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 123/150,,,,Stock Room,
182,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 124/150,,,,Stock Room,
183,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 125/150,,,,Stock Room,
184,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 126/150,,,,Stock Room,
185,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 127/150,,,,Stock Room,
186,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 128/150,,,,Stock Room,
187,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 129/150,,,,Stock Room,
188,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 130/150,,,,Stock Room,
189,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 131/150,,,,Stock Room,
190,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 132/150,,,,Stock Room,
191,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 133/150,,,,Stock Room,
192,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 134/150,,,,Stock Room,
193,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 135/150,,,,Stock Room,
194,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 136/150,,,,Stock Room,
195,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05  137/150,,,,Stock Room,
196,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 138/150,,,,Stock Room,
197,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 139/150,,,,Stock Room,
198,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 140/150,,,,Stock Room,
199,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 141/150,,,,Stock Room,
200,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 142/150,,,,Stock Room,
201,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 143/150,,,,Stock Room,
202,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 144/150,,,,Stock Room,
203,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 145/150,,,,Stock Room,
204,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 146/150,,,,Stock Room,
205,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 147/150,,,,Stock Room,
206,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 148/150,,,,Stock Room,
207,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05  149/150,,,,Stock Room,
208,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 150/150,,,,Stock Room,
209,NICER Project: Simulation-based Learning Laboratory,Adult CPR Manikin,,,NIH2021-05-68,NIH-108,DOST GIA-23-2341,,,Stock Room,
210,NICER Project: Simulation-based Learning Laboratory,Child CPR Manikin,,,NlH2021-05-6B,NIH-109,,,,Stock Room,
211,NICER Project: Simulation-based Learning Laboratory,Infant CPR Manikin,,,NIH2021-05-68,NIH-110,DOST GIA-23-2339,,,Stock Room,
212,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 1/90,,,,Stock Room,
213,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 2/90,,,,Stock Room,
214,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 3/90,,,,Stock Room,
215,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 4/90,,,,Stock Room,
216,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 5/90,,,,Stock Room,
217,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 6/90,,,,Stock Room,
218,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 7/90,,,,Stock Room,
219,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 8/90,,,,Stock Room,
220,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 9/90,,,,Stock Room,
221,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 10/90,,,,Stock Room,
222,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 11/90,,,,Stock Room,
223,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 12/90,,,,Stock Room,
224,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 13/90,,,,Stock Room,
225,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 14/90,,,,Stock Room,
226,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 15/90,,,,Stock Room,
227,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 16/90,,,,Stock Room,
228,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 17/90,,,,Stock Room,
229,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 18/90,,,,Stock Room,
230,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 19/90,,,,Stock Room,
231,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 20/90,,,,Stock Room,
232,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 21/90,,,,Stock Room,
233,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 22/90,,,,Stock Room,
234,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 23/90,,,,Stock Room,
235,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 24/90,,,,Stock Room,
236,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 25/90,,,,Stock Room,
237,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 26/90,,,,Stock Room,
238,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 27/90,,,,Stock Room,
239,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 28/90,,,,Stock Room,
240,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 29/90,,,,Stock Room,
241,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 30/90,,,,Stock Room,
242,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 31/90,,,,Stock Room,
243,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 32/90,,,,Stock Room,
244,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 33/90,,,,Stock Room,
245,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 34/90,,,,Stock Room,
246,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 35/90,,,,Stock Room,
247,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 36/90,,,,Stock Room,
248,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 37/90,,,,Stock Room,
249,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 38/90,,,,Stock Room,
250,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 39/90,,,,Stock Room,
251,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 40/90,,,,Stock Room,
252,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 41/90,,,,Stock Room,
253,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 42/90,,,,Stock Room,
254,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 43/90,,,,Stock Room,
255,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 44/90,,,,Stock Room,
256,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 45/90,,,,Stock Room,
257,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 46/90,,,,Stock Room,
258,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 47/90,,,,Stock Room,
259,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 48/90,,,,Stock Room,
260,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 49/90,,,,Stock Room,
261,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 50/90,,,,Stock Room,
262,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 51/90,,,,Stock Room,
263,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 52/90,,,,Stock Room,
264,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 53/90,,,,Stock Room,
265,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 54/90,,,,Stock Room,
266,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 55/90,,,,Stock Room,
267,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 56/90,,,,Stock Room,
268,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 57/90,,,,Stock Room,
269,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 58/90,,,,Stock Room,
270,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 59/90,,,,Stock Room,
271,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 60/90,,,,Stock Room,
272,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 61/90,,,,Stock Room,
273,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 62/90,,,,Stock Room,
274,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 63/90,,,,Stock Room,
275,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 64/90,,,,Stock Room,
276,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 65/90,,,,Stock Room,
277,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 66/90,,,,Stock Room,
278,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 67/90,,,,Stock Room,
279,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 68/90,,,,Stock Room,
280,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 69/90,,,,Stock Room,
281,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 70/90,,,,Stock Room,
282,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 71/90,,,,Stock Room,
283,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 72/90,,,,Stock Room,
284,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 73/90,,,,Stock Room,
285,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 74/90,,,,Stock Room,
286,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 75/90,,,,Stock Room,
287,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 76/90,,,,Stock Room,
288,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 77/90,,,,Stock Room,
289,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 78/90,,,,Stock Room,
290,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 79/90,,,,Stock Room,
291,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 80/90,,,,Stock Room,
292,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 81/90,,,,Stock Room,
293,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 82/90,,,,Stock Room,
294,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 83/90,,,,Stock Room,
295,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 84/90,,,,Stock Room,
296,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 85/90,,,,Stock Room,
297,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 86/90,,,,Stock Room,
298,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 87/90,,,,Stock Room,
299,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 88/90,,,,Stock Room,
300,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 89/90,,,,Stock Room,
301,UPM DRRM SEMI-Expendable ,Hard Hat for IMT and responders,,,DRRMH-2023-0349,DRRMH-L-0698 90/90,,,,Stock Room,
302,UPM DRRM SEMI-Expendable ,Megaphone with rechargeable battery max power output  60W,,,DRRMH-2022-00092,DRRMH-H-0498 1/15,,,,Stock Room,
303,UPM DRRM SEMI-Expendable ,Megaphone with rechargeable battery max power output  60W,,,DRRMH-2022-00092,DRRMH-H-0498 2/15,,,,Stock Room,
304,UPM DRRM SEMI-Expendable ,Megaphone with rechargeable battery max power output  60W,,,DRRMH-2022-00092,DRRMH-H-0498 3/15,,,,Stock Room,
305,UPM DRRM SEMI-Expendable ,Megaphone with rechargeable battery max power output  60W,,,DRRMH-2022-00092,DRRMH-H-0498 4/15,,,,Stock Room,
306,UPM DRRM SEMI-Expendable ,Megaphone with rechargeable battery max power output  60W,,,DRRMH-2022-00092,DRRMH-H-0498 5/15,,,,Stock Room,
307,UPM DRRM SEMI-Expendable ,Megaphone with rechargeable battery max power output  60W,,,DRRMH-2022-00092,DRRMH-H-0498 6/15,,,,Stock Room,
308,UPM DRRM SEMI-Expendable ,Megaphone with rechargeable battery max power output  60W,,,DRRMH-2022-00092,DRRMH-H-0498 7/15,,,,Stock Room,
309,UPM DRRM SEMI-Expendable ,Megaphone with rechargeable battery max power output  60W,,,DRRMH-2022-00092,DRRMH-H-0498 8/15,,,,Stock Room,
310,UPM DRRM SEMI-Expendable ,Megaphone with rechargeable battery max power output  60W,,,DRRMH-2022-00092,DRRMH-H-0498 9/15,,,,Stock Room,
311,UPM DRRM SEMI-Expendable ,Vest for IMT Responders,,,DRRMH-2023-0350,DRRMH-L0699 1/90,,,,Stock Room,
312,UPM DRRM SEMI-Expendable ,Vest for IMT Responders,,,DRRMH-2023-0350,DRRMH-L0699 2/90,,,,Stock Room,
313,UPM DRRM SEMI-Expendable ,Vest for IMT Responders,,,DRRMH-2023-0350,DRRMH-L0699 3/90,,,,Stock Room,
314,UPM DRRM SEMI-Expendable ,Vest for IMT Responders,,,DRRMH-2023-0350,DRRMH-L0699 4/90,,,,Stock Room,
315,UPM DRRM SEMI-Expendable ,Vest for IMT Responders,,,DRRMH-2023-0350,DRRMH-L0699 5/90,,,,Stock Room,
316,UPM DRRM SEMI-Expendable ,Vest for IMT Responders,,,DRRMH-2023-0350,DRRMH-L0699 6/90,,,,Stock Room,
317,UPM DRRM SEMI-Expendable ,Vest for IMT Responders,,,DRRMH-2023-0350,DRRMH-L0699 7/90,,,,Stock Room,
318,UPM DRRM SEMI-Expendable ,Vest for IMT Responders,,,DRRMH-2023-0350,DRRMH-L0699 8/90,,,,Stock Room,
319,UPM DRRM SEMI-Expendable ,Vest for IMT Responders,,,DRRMH-2023-0350,DRRMH-L0699 9/90,,,,Stock Room,
320,UPM DRRM SEMI-Expendable ,Vest for IMT Responders,,,DRRMH-2023-0350,DRRMH-L0699 10/90,,,,Stock Room,
321,UPM DRRM SEMI-Expendable ,Vest for IMT Responders,,,DRRMH-2023-0350,DRRMH-L0699 11/90,,,,Stock Room,
322,UPM DRRM SEMI-Expendable ,Vest for IMT Responders,,,DRRMH-2023-0350,DRRMH-L0699 12/90,,,,Stock Room,
323,UPM DRRM SEMI-Expendable ,Vest for IMT Responders,,,DRRMH-2023-0350,DRRMH-L0699 13/90,,,,Stock Room,
324,UPM DRRM SEMI-Expendable ,Vest for IMT Responders,,,DRRMH-2023-0350,DRRMH-L0699 14/90,,,,Stock Room,
325,UPM DRRM SEMI-Expendable ,Vest for IMT Responders,,,DRRMH-2023-0350,DRRMH-L0699 15/90,,,,Stock Room,
326,UPM DRRM SEMI-Expendable ,Vest for IMT Responders,,,DRRMH-2023-0350,DRRMH-L0699 16/90,,,,Stock Room,
327,UPM DRRM SEMI-Expendable ,Vest for IMT Responders,,,DRRMH-2023-0350,DRRMH-L0699 17/90,,,,Stock Room,
328,UPM DRRM SEMI-Expendable ,Vest for IMT Responders,,,DRRMH-2023-0350,DRRMH-L0699 18/90,,,,Stock Room,
329,UPM DRRM SEMI-Expendable ,Vest for IMT Responders,,,DRRMH-2023-0350,DRRMH-L0699 19/90,,,,Stock Room,
330,UPM DRRM SEMI-Expendable ,Vest for IMT Responders,,,DRRMH-2023-0350,DRRMH-L0699 20/90,,,,Stock Room,
331,UPM DRRM SEMI-Expendable ,Vest for IMT Responders,,,DRRMH-2023-0350,DRRMH-L0699 21/90,,,,Stock Room,
332,UPM DRRM SEMI-Expendable ,Vest for IMT Responders,,,DRRMH-2023-0350,DRRMH-L0699 22/90,,,,Stock Room,
333,UPM DRRM SEMI-Expendable ,Vest for IMT Responders,,,DRRMH-2023-0350,DRRMH-L0699 23/90,,,,Stock Room,
